ID,Nivel,Rol,Precondicion,Pasos,ResultadoEsperado,SeveridadSiFalla,Estado,Evidencia
PUB-001,Publico,Invitado,Ninguna,Entrar a la web raiz,Carga home sin error,Alta,Pendiente,
PUB-002,Publico,Invitado,Ninguna,Abrir menu principal,Solo opciones publicas visibles,Media,Pendiente,
PUB-003,Publico,Invitado,Ninguna,Ir a Locales,Lista de locales visible,Alta,Pendiente,
PUB-004,Publico,Invitado,En Locales,Buscar por texto,Filtrado correcto por nombre descripcion direccion,Media,Pendiente,
PUB-005,Publico,Invitado,En Locales,Filtrar por extras,Resultados coinciden con extras seleccionados,Media,Pendiente,
PUB-006,Publico,Invitado,Ninguna,Abrir detalle de un local,Vista detalle visible con datos publicos,Alta,Pendiente,
PUB-007,Publico,Invitado,Ninguna,Abrir perfil publico de usuario,Vista perfil visible sin error,Media,Pendiente,
PUB-008,Publico,Invitado,Ninguna,Abrir contacto y enviar formulario valido,Mensaje enviado y redireccion correcta,Alta,Pendiente,
PUB-009,Publico,Invitado,En contacto,Enviar email invalido,Validacion muestra error,Media,Pendiente,
PUB-010,Publico,Invitado,En contacto,Superar limite de mensaje,Validacion rechaza y muestra feedback,Media,Pendiente,
PUB-011,Publico,Invitado,Ninguna,Abrir registro rol Event Manager,Formulario correcto,Media,Pendiente,
PUB-012,Publico,Invitado,Ninguna,Abrir registro rol Local Manager,Formulario correcto,Media,Pendiente,
PUB-013,Publico,Invitado,Ninguna,Intentar abrir /bookings por URL,Redireccion o bloqueo por auth,Alta,Pendiente,
PUB-014,Publico,Invitado,Ninguna,Intentar abrir /notifications por URL,Redireccion o bloqueo por auth,Alta,Pendiente,
PUB-015,Publico,Invitado,Movil,Pulsar enlaces del menu varios,Navega al primer clic sin refresh espurio,Alta,Pendiente,
AUTH-001,Autenticacion,Usuario logueado,Cuenta valida,Iniciar sesion,Login exitoso y sesion activa,Alta,Pendiente,
AUTH-002,Autenticacion,Usuario logueado,Sesion activa,Cerrar sesion,Logout correcto y sesion cerrada,Alta,Pendiente,
AUTH-003,Perfil,Usuario logueado,Sesion activa,Abrir perfil propio,Datos propios visibles,Media,Pendiente,
